name,sex,latest_year,latest_rank,latest_count,first_year,total_count,origin_backgrounds,languages,scripts,variants,meaning,age_style_category,historical_significance_score,semantic_summary
Jacob,M,2020,15,9196,1880,954005,Hebrew|Latin,en|he|la,Latin|Hebrew,Jacob|James|Jakob|Jacques|Jaime|Giacomo,supplanter or holder of the heel,timeless,0.9,"Jacob is a Hebrew and Latin name meaning supplanter or holder of the heel, a royal and apostolic name carried through scripture, monarchy, and literature. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Logan,M,2020,16,9086,1880,380188,Scottish|Gaelic,en|gd|ga,Latin,Logan|Lagan|Logen|Logann|Loughan|Loghan,little hollow,modern,0.4,"Logan is a Scottish and Gaelic name meaning little hollow, a Scottish surname name with a landscape feel and a relaxed contemporary sound. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Jackson,M,2020,17,9051,1880,259392,English|Hebrew,en|he,Latin|Hebrew,Jackson|Jaxon|Jaxson|Jax|Jaxton|Jaxxon,son of jack,modern,0.4,"Jackson is an English and Hebrew name meaning son of jack, a surname-form tied to John yet energized by bold modern spellings. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Levi,M,2020,18,9005,1880,167599,Hebrew,en|he,Latin|Hebrew,Levi|Levy|Levie|Lewi|Leiba|Lévi,joined or attached,timeless,0.8,"Levi is a Hebrew name meaning joined or attached, a tribal biblical name with a clean modern sound and ancient priestly resonance. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Sebastian,M,2020,19,8927,1881,173734,Greek|Latin,en|el|la,Latin|Greek,Sebastian|Sebastien|Sebastiano|Sebastián|Bastian|Bastien,venerable or from sebaste,classic,0.8,"Sebastian is a Greek and Latin name meaning venerable or from sebaste, a saintly and classical name with refined European drama. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Mateo,M,2020,20,8900,1904,73278,Hebrew|Spanish|Italian,en|he|es|it,Latin|Hebrew,Mateo|Matteo|Matthew|Matias|Mathias|Matthias,gift of god,timeless,0.8,"Mateo is a Hebrew, Spanish, and Italian name meaning gift of god, a warm cross-cultural Matthew form with apostolic roots and a melodic Romance sound. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Jack,M,2020,21,8876,1880,715026,Hebrew|English,en|he,Latin|Hebrew,Jack|John|Johnny|Johan|Jean|Juan,god is gracious,timeless,0.9,"Jack is a Hebrew and English name meaning god is gracious, a compact English form of John with folk-tale charm and deep biblical roots. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Owen,M,2020,22,8623,1880,205869,Welsh|Hebrew,en|cy|he,Latin|Hebrew,Owen|Evan|Ewan|Euan|Ifan|Ivan,god is gracious,timeless,0.7,"Owen is a Welsh and Hebrew name meaning god is gracious, a Welsh John-family name with a soft, enduring, cross-cultural sound. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Theodore,M,2020,23,8558,1880,261033,Greek,en|el,Latin|Greek,Theodore|Theo|Theodor|Teodoro|Teddy|Thea,gift of god,timeless,0.9,"Theodore is a Greek name meaning gift of god, a saintly and philosophical name with antique dignity and affectionate nicknames. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Aiden,M,2020,24,8534,1970,225222,Irish|Celtic,en|ga,Latin,Aiden|Aidan|Ayden|Aydan|Aodhán|Aedan,little fire,modern,0.3,"Aiden is an Irish and Celtic name meaning little fire, reviving an early Irish saint name in a bright contemporary form. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Samuel,M,2020,25,8488,1880,780818,Hebrew,en|he,Latin|Hebrew,Samuel|Samuele|Samuël|Samuil|Shemuel|Sam,god has heard,timeless,0.9,"Samuel is a Hebrew name meaning god has heard, a prophetic and priestly biblical name with gentle strength and familiar warmth. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Joseph,M,2020,26,8349,1880,2641826,Hebrew,en|he,Latin|Hebrew,Joseph|Jose|José|Giuseppe|Josef|Yosef,he will add,timeless,0.9,"Joseph is a Hebrew name meaning he will add, a patriarchal and saintly name shared across Jewish, Christian, and Muslim cultures. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
John,M,2020,27,8180,1880,5163958,Hebrew|English,en|he,Latin|Hebrew,John|Jack|Johnny|Johan|Jean|Juan,god is gracious,timeless,0.9,"John is a Hebrew and English name meaning god is gracious, a compact English form of John with folk-tale charm and deep biblical roots. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
David,M,2020,28,8153,1880,3651803,Hebrew,en|he,Latin|Hebrew,David|Dawid|Dávid|Davide|Dawson|Davis,beloved,timeless,0.9,"David is a Hebrew name meaning beloved, a royal biblical name linked to psalms, kingship, and enduring moral drama. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Wyatt,M,2020,29,8135,1880,174392,English|Germanic,en|de,Latin,Wyatt|Wiot|Wyot|Wiat|Wiett|Wyett,brave in war,classic,0.5,"Wyatt is an English and Germanic name meaning brave in war, a medieval surname-name with frontier energy and old Germanic grit. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Matthew,M,2020,30,8052,1880,1623591,Hebrew|Spanish|Italian,en|he|es|it,Latin|Hebrew,Matthew|Mateo|Matteo|Matias|Mathias|Matthias,gift of god,timeless,0.8,"Matthew is a Hebrew, Spanish, and Italian name meaning gift of god, a warm cross-cultural Matthew form with apostolic roots and a melodic Romance sound. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Luke,M,2020,31,7734,1880,287010,Greek|Latin,en|el|la,Latin|Greek,Luke|Lucas|Luca|Luka|Lukas|Luc,from lucania,timeless,0.8,"Luke is a Greek and Latin name meaning from lucania, connected to the evangelist Luke and polished by centuries of European use. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Asher,M,2020,32,7606,1880,71716,Hebrew,en|he,Latin|Hebrew,Asher|Ashur|Ascher|Aser|Osher|Ash,happy or blessed,timeless,0.8,"Asher is a Hebrew name meaning happy or blessed, a biblical tribal name with a sunny meaning and gentle modern clarity. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Carter,M,2020,33,7511,1881,181814,English,en,Latin,Carter|Karter|Cartier|Carver|Carty|MacArthur,cart driver,modern,0.3,"Carter is an English name meaning cart driver, an occupational surname name with practical movement and a confident modern edge. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Julian,M,2020,34,7488,1880,230875,Latin,en|la,Latin,Julian|Julius|Julio|Julien|Giuliano|Jules,youthful or downy-bearded,classic,0.8,"Julian is a Latin name meaning youthful or downy-bearded, a Roman family name with imperial, saintly, and literary polish. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Grayson,M,2020,35,7424,1905,99390,English,en,Latin,Grayson|Greyson|Graysen|Greysen|Gray|Grey,son of the steward or gray-haired one,modern,0.3,"Grayson is an English name meaning son of the steward or gray-haired one, a surname-style name blending genteel color imagery with a fashionable -son ending. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Leo,M,2020,36,7159,1880,221567,Greek|Latin,en|el|la,Latin|Greek,Leo|Leon|Leonardo|Leonel|Lionel|Leonidas,lion,timeless,0.8,"Leo is a Greek and Latin name meaning lion, a leonine name family that ranges from saints and popes to Renaissance genius. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Jayden,M,2020,37,7102,1977,246229,English|Hebrew,en|he,Latin|Hebrew,Jayden|Jaden|Jaiden|Jadon|Jaydon|Jaidyn,modern coinage possibly thankful,modern,0.2,"Jayden is an English and Hebrew name with modern coinage possibly thankful, a modern name sometimes linked to biblical Jadon and shaped by rhythmic sound. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Gabriel,M,2020,38,7066,1880,367834,Hebrew,en|he,Latin|Hebrew,Gabriel|Gabriël|Gavriel|Gabriela|Gabriella|Gabrielle,god is my strength,timeless,0.9,"Gabriel is a Hebrew name meaning god is my strength, an archangelic name with musical softness and major religious weight. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Isaac,M,2020,39,7060,1880,299071,Hebrew,en|he,Latin|Hebrew,Isaac|Isaak|Izaak|Itzhak|Isac|Isaaq,he will laugh,timeless,0.9,"Isaac is a Hebrew name meaning he will laugh, a patriarchal name that joins joy, covenant, and scholarly gravity. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Lincoln,M,2020,40,6998,1880,79834,English,en,Latin,Lincoln|Lincolne|Linkon|Linc|Link|Lyncoln,lake colony,classic,0.7,"Lincoln is an English name meaning lake colony, an English place surname elevated by Abraham Lincoln and civic memory. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Anthony,M,2020,41,6966,1880,1462787,Latin|Roman,en|la,Latin,Anthony|Antonio|Antony|Antoine|Anton|Antoni,uncertain roman family name,classic,0.8,"Anthony is a Latin and Roman name meaning uncertain roman family name, a venerable saintly and Roman name with dignified international forms. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Hudson,M,2020,42,6807,1880,75512,English|Germanic,en|de,Latin,Hudson|Hutson|Hudsen|Hudde|Hudd|Hud,son of hudde,modern,0.4,"Hudson is an English and Germanic name meaning son of hudde, a surname name with riverine associations and a polished adventurous feel. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Dylan,M,2020,43,6788,1953,398187,Welsh,en|cy,Latin,Dylan|Dillon|Dillan|Dilan|Dylann|Dyllon,great tide,classic,0.7,"Dylan is a Welsh name meaning great tide, a Welsh mythic sea name with poetic depth and modern musical associations. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Ezra,M,2020,44,6745,1880,68697,Hebrew,en|he,Latin|Hebrew,Ezra|Esra|Ezrah|Ezri|Ezras|Azra,help,timeless,0.8,"Ezra is a Hebrew name meaning help, a concise biblical scribe name with intellectual and spiritual resonance. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Thomas,M,2020,45,6386,1880,2333549,Aramaic|Greek,en|he|el,Latin|Hebrew|Greek,Thomas|Tomas|Tomás|Tommaso|Toma|Tomek,twin,timeless,0.9,"Thomas is an Aramaic and Greek name meaning twin, an apostolic name with scholarly, saintly, and literary endurance. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Charles,M,2020,46,6186,1880,2418011,Germanic|French,en|de|fr,Latin,Charles|Charlie|Carl|Carlos|Carlo|Karl,free man,classic,0.9,"Charles is a Germanic and French name meaning free man, a royal name family carried by emperors, kings, and writers across Europe. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Christopher,M,2020,47,6143,1880,2052438,Greek,en|el,Latin|Greek,Christopher|Cristopher|Cristóbal|Christophe|Kristoffer|Topher,christ-bearer,classic,0.8,"Christopher is a Greek name meaning christ-bearer, a devotional Greek name with medieval pilgrimage imagery and familiar English warmth. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Jaxon,M,2020,48,6107,1972,92496,English|Hebrew,en|he,Latin|Hebrew,Jaxon|Jackson|Jaxson|Jax|Jaxton|Jaxxon,son of jack,modern,0.4,"Jaxon is an English and Hebrew name meaning son of jack, a surname-form tied to John yet energized by bold modern spellings. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Maverick,M,2020,49,6088,1957,37656,English,en,Latin,Maverick|Mavrick|Mavrik|Mav|Maverik|Mavric,independent one,modern,0.2,"Maverick is an English name meaning independent one, an English surname-word name projecting independence and frontier confidence. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Josiah,M,2020,50,6077,1880,120597,Hebrew,en|he,Latin|Hebrew,Josiah|Josias|Yoshiyahu|Josija|Joziah|Josue,yahweh supports,timeless,0.8,"Josiah is a Hebrew name meaning yahweh supports, a biblical royal name with a revivalist sound and solemn religious history. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Isaiah,M,2020,51,6001,1880,227391,Hebrew,en|he,Latin|Hebrew,Isaiah|Isaias|Izaiah|Yeshaiah|Yeshayahu|Isaia,yahweh is salvation,timeless,0.9,"Isaiah is a Hebrew name meaning yahweh is salvation, a prophetic name with poetic scriptural grandeur and a flowing modern sound. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Andrew,M,2020,52,5991,1880,1309207,Greek,en|el,Latin|Greek,Andrew|Andre|André|Andres|Anderson|Andrea,manly or brave,timeless,0.8,"Andrew is a Greek name meaning manly or brave, an apostolic Greek name family with strong, simple, international appeal. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Elias,M,2020,53,5924,1880,92705,Hebrew,en|he,Latin|Hebrew,Elias|Elijah|Eliya|Ilya|Elia|Eli,my god is yahweh,timeless,0.9,"Elias is a Hebrew name meaning my god is yahweh, bearing prophetic depth from the Hebrew Bible and a lyrical vowel-rich sound. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Joshua,M,2020,54,5924,1880,1227713,Hebrew|Aramaic|Greek,en|he|el,Latin|Hebrew|Greek,Joshua|Jesus|Jesús|Yeshua|Josue|Yehoshua,yahweh is salvation,timeless,0.9,"Joshua is a Hebrew, Aramaic, and Greek name meaning yahweh is salvation, a major biblical name family shared by Joshua and Jesus through layered translation. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Nathan,M,2020,55,5653,1880,563043,Hebrew,en|he,Latin|Hebrew,Nathan|Natan|Nathaniel|Nathanael|Natanael|Nate,given by god,timeless,0.8,"Nathan is a Hebrew name meaning given by god, a biblical name family with a spare generous meaning and steady warmth. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Caleb,M,2020,56,5546,1880,296407,Hebrew,en|he,Latin|Hebrew,Caleb|Kaleb|Kalib|Kalev|Calev|Kalebh,dog or whole-hearted,timeless,0.8,"Caleb is a Hebrew name meaning dog or whole-hearted, a biblical scout name associated with courage, loyalty, and steadfast faith. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Ryan,M,2020,57,5286,1906,968669,Irish|Celtic,en|ga,Latin,Ryan|Rian|Rhian|Ryann|Ryen|Rían,little king,classic,0.5,"Ryan is an Irish and Celtic name meaning little king, an Irish surname-name with compact strength and a friendly contemporary feel. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Adrian,M,2020,58,5249,1880,263531,Latin,en|la,Latin,Adrian|Adrián|Adriano|Hadrian|Adriana|Adrianna,from hadria,classic,0.8,"Adrian is a Latin name meaning from hadria, a Roman and papal name with coastal origins and refined European breadth. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Miles,M,2020,59,5249,1880,92421,Latin|Germanic,en|la|de,Latin,Miles|Myles|Milo|Mylo|Milos|Miloš,soldier or gracious,classic,0.6,"Miles is a Latin and Germanic name meaning soldier or gracious, a medieval name with soft strength and overlapping Latin and Germanic histories. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Eli,M,2020,60,5214,1880,133036,Hebrew,en|he,Latin|Hebrew,Eli|Elie|Ely|Eliyahu|Elijah|Elias,ascended or my god is yahweh,timeless,0.8,"Eli is a Hebrew name meaning ascended or my god is yahweh, short and luminous with biblical resonance and a gentle modern profile. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Nolan,M,2020,61,5164,1881,110684,Irish|Celtic,en|ga,Latin,Nolan|Nolán|Nolen|Nowlan|Nolin|Nollan,champion or noble one,classic,0.5,"Nolan is an Irish and Celtic name meaning champion or noble one, an Irish surname-name with a heroic meaning and smooth modern cadence. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Christian,M,2020,62,5043,1880,452130,Greek|Latin,en|el|la,Latin|Greek,Christian|Cristian|Kristian|Cristiano|Kristen|Christen,follower of christ,timeless,0.8,"Christian is a Greek and Latin name meaning follower of christ, a faith-based name with broad European use and a clear religious identity. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Aaron,M,2020,63,5039,1880,596354,Hebrew|Egyptian,en|he,Latin|Hebrew,Aaron|Aarón|Aharon|Aron|Arron|Harun,exalted or uncertain egyptian origin,timeless,0.9,"Aaron is a Hebrew and Egyptian name meaning exalted or uncertain egyptian origin, a priestly biblical name tied to Moses and long Jewish, Christian, and Muslim traditions. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Cameron,M,2020,64,5019,1882,317202,Scottish|Gaelic,en|gd|ga,Latin,Cameron|Kameron|Camryn|Kamryn|Camron|Camden,crooked nose,modern,0.4,"Cameron is a Scottish and Gaelic name meaning crooked nose, a Scottish surname-name with a crisp unisex sound and clan-like familiarity. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Ezekiel,M,2020,65,5013,1880,55425,Hebrew,en|he,Latin|Hebrew,Ezekiel|Ezequiel|Yechezkel|Ezekial|Zeke|Ezechiel,god strengthens,timeless,0.8,"Ezekiel is a Hebrew name meaning god strengthens, a prophetic biblical name with visionary intensity and a strong revival sound. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Colton,M,2020,66,4980,1913,132786,English,en,Latin,Colton|Kolton|Colten|Koltin|Colt|Kolten,coal town or colt settlement,modern,0.3,"Colton is an English name meaning coal town or colt settlement, a surname-place name with rugged Western imagery and a fashionable -ton ending. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Luca,M,2020,67,4785,1915,39399,Greek|Latin,en|el|la,Latin|Greek,Luca|Lucas|Luke|Luka|Lukas|Luc,from lucania,timeless,0.8,"Luca is a Greek and Latin name meaning from lucania, connected to the evangelist Luke and polished by centuries of European use. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Landon,M,2020,68,4747,1882,168980,English,en,Latin,Landon|Landen|Landonne|Londyn|London|Londin,long hill or from london,modern,0.3,"Landon is an English name meaning long hill or from london, a place-based surname name with urban polish and soft contemporary rhythm. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Hunter,M,2020,69,4743,1880,258121,English,en,Latin,Hunter|Huntley|Hunt|Hunte|Huntar,one who hunts,modern,0.3,"Hunter is an English name meaning one who hunts, an occupational surname name with outdoorsy energy and direct action. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Jonathan,M,2020,70,4690,1880,853557,Hebrew,en|he,Latin|Hebrew,Jonathan|Johnathan|Jon|Jonas|Yohanan|Yonatan,yahweh has given,timeless,0.9,"Jonathan is a Hebrew name meaning yahweh has given, a biblical friendship name that feels generous, literary, and enduring. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Santiago,M,2020,71,4638,1880,71393,Spanish|Hebrew,en|es|he,Latin|Hebrew,Santiago|Thiago|Tiago|Iago|Yago|Diego,saint james or supplanter,classic,0.8,"Santiago is a Spanish and Hebrew name meaning saint james or supplanter, a Spanish James family name with pilgrimage, saintly, and Iberian resonance. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Axel,M,2020,72,4628,1880,50701,Hebrew|Scandinavian,en|he|sv|no,Latin|Hebrew,Axel|Aksel|Axell|Axl|Absalom|Avshalom,father is peace,classic,0.6,"Axel is a Hebrew and Scandinavian name meaning father is peace, a Scandinavian form of a biblical name with a sharp modern sound. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Easton,M,2020,73,4613,1907,61163,English,en,Latin,Easton|Eston|Esten|Eastin|Eyston,east town,modern,0.3,"Easton is an English name meaning east town, an English place surname with directional imagery and a clean contemporary finish. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Cooper,M,2020,74,4566,1882,96694,English,en,Latin,Cooper|Couper|Cowper|Kooper|Kuper|Coop,barrel maker,modern,0.3,"Cooper is an English name meaning barrel maker, an occupational surname name with friendly craft associations and easy charm. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Jeremiah,M,2020,75,4518,1880,206524,Hebrew,en|he,Latin|Hebrew,Jeremiah|Jeremy|Jeremias|Jeremija|Jérémy|Jeramy,yahweh will exalt,timeless,0.8,"Jeremiah is a Hebrew name meaning yahweh will exalt, a prophetic biblical name family with solemn depth and approachable nicknames. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Angel,M,2020,76,4482,1888,338457,Greek|Latin,en|el|la,Latin|Greek,Angel|Ángel|Angelo|Angela|Angelina|Angelica,messenger,timeless,0.8,"Angel is a Greek and Latin name meaning messenger, a spiritual name family tied to divine messengers and gentle celestial imagery. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Roman,M,2020,77,4445,1882,79065,Latin|Italian,en|la|it,Latin,Roman|Romeo|Romano|Romain|Román|Roma,roman or pilgrim to rome,classic,0.7,"Roman is a Latin and Italian name meaning roman or pilgrim to rome, a name family evoking the city of Rome, pilgrimage, and classical grandeur. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Connor,M,2020,78,4389,1913,221395,Irish|Celtic,en|ga,Latin,Connor|Conner|Conor|Conchobhar|Conchúr|Konnor,lover of hounds,classic,0.6,"Connor is an Irish and Celtic name meaning lover of hounds, an Irish heroic name with mythic kingship and loyal animal imagery. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Jameson,M,2020,79,4370,1922,45295,English|Hebrew,en|he,Latin|Hebrew,Jameson|Jamison|James|Jamieson|Jemison|Jaimison,son of james,modern,0.4,"Jameson is an English and Hebrew name meaning son of james, a patronymic surname form of James with biblical roots and polished modern energy. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
